みんなを,スタァライト,しちゃいます！,華恋
99期生 星見純那,掴んでみせます,自分星！,私
This is,天堂真矢,頂きにキラめく星は一つ,天堂さん
ずっとそばにいたのは,私,なんだよ,露崎さん
指導者とは,自己を売って,正義を買った人間である,ソクラテス
「フラウ・ルビン」リュウ・メイファン,情熱の炎で,王道を作る！,メイファンさん
吾輩は,猫である,名前はまだない,夏目漱石
命かけたる,正念場,いざご覧あれ！,田中さん
この世は舞台,人はみな,役者だ,シェイクスピア
愛と勇気で,すすめ,フロンティア！,野々宮
人は,泣きながら,生まれる,シェイクスピア
スタリラ,やってて良かった,味噌煮込み
日本が誇る,サラダチキンと,アメリカバイソン
時は2XXX年……,香ばしく炒った,きなこボーン
理想のバッティングは,元気爆発,夏目漱石
吾輩の,ローラスケートで,大はしゃぎ
演劇部顧問宇梶先生,視線ぶつかり,トレビアン
鳴かぬなら,鳴かせてみせよう,ホトトギス
楽しかった！,将棋で勝負,ソーシャルディスタンス
キノコ採り名人の,おじいさんとおばあさんは,今日もバイトをサボってしまった
みんなが大好きな,お役所仕事と,HIP HOPで革命を
世に起こる摩訶不思議,恋に部活に大忙しの,仁王立ち
大阪では常識です。,不労所得,ありがとう
かれを知り,己を知れば,100戦危うからず
ドレッシングをかけすぎる君は,ゲーミング,激戦区
ポン酢よ！,運動会の,求愛ダンス
清純派,ロボットだから、機械だから,切ったアロエを貼る
宣言します！,業務用サイズの,涙を流さない
政治不信に,シベリアンハスキー,孔明の罠
ビールのつまみは,遅刻して,世界征服
